time,precip
2000-06-01,181.10538
2000-07-01,33.566113
2000-08-01,26.977388
2000-09-01,15.77268
2000-10-01,96.13323
2000-11-01,411.52493
2000-12-01,136.93004
2001-01-01,444.36523
2001-02-01,281.12347
2001-03-01,269.53827
2001-04-01,307.97983
2001-05-01,111.92181
2001-06-01,163.97923
2001-07-01,62.09957
2001-08-01,10.882115
2001-09-01,20.680035
2001-10-01,185.01634
2001-11-01,343.93723
2001-12-01,185.55792
2002-01-01,416.92755
2002-02-01,309.66946
2002-03-01,237.90823
2002-04-01,129.15985
2002-05-01,139.80788
2002-06-01,48.9834
2002-07-01,45.851128
2002-08-01,11.184634
2002-09-01,6.6393776
2002-10-01,21.449553
2002-11-01,164.19855
2002-12-01,210.46355
2003-01-01,239.45174
2003-02-01,334.8648
2003-03-01,165.4288
2003-04-01,129.83661
2003-05-01,91.01691
2003-06-01,27.381725
2003-07-01,11.6282425
2003-08-01,16.399471
2003-09-01,19.131573
2003-10-01,135.4768
2003-11-01,240.27417
2003-12-01,274.16006
2004-01-01,387.25668
2004-02-01,362.1794
2004-03-01,292.23688
2004-04-01,151.276
2004-05-01,154.29077
2004-06-01,112.48956
2004-07-01,54.114204
2004-08-01,7.0586205
2004-09-01,9.032456
2004-10-01,17.762388
2004-11-01,171.07414
2004-12-01,394.55157
2005-01-01,341.49173
2005-02-01,256.7774
2005-03-01,306.18365
2005-04-01,146.90482
2005-05-01,77.57388
2005-06-01,113.58583
2005-07-01,80.56192
2005-08-01,64.28595
2005-09-01,28.209787
2005-10-01,130.66371
2005-11-01,204.91321
2005-12-01,341.4853
2006-01-01,452.20078
2006-02-01,309.28735
2006-03-01,323.23273
2006-04-01,182.49997
2006-05-01,129.71596
2006-06-01,47.493397
2006-07-01,27.995495
2006-08-01,6.114657
2006-09-01,3.7583988
2006-10-01,23.492874
2006-11-01,72.91717
2006-12-01,254.20107
2007-01-01,257.5421
2007-02-01,249.97429
2007-03-01,282.65686
2007-04-01,328.61768
2007-05-01,143.45784
2007-06-01,103.497
2007-07-01,24.026758
2007-08-01,29.05439
2007-09-01,12.443692
2007-10-01,78.72363
2007-11-01,169.50545
2007-12-01,558.15106
2008-01-01,332.87604
2008-02-01,420.75085
2008-03-01,283.2124
2008-04-01,244.29399
